dataset,mobility,algorithm,metric,mean,std,runs
hhar,community_dense,local,macro_f1,0.6385082797814118,0.014685857054613612,12
hhar,community_dense,oppavg,accuracy,0.6133746874553186,0.007197693331820398,12
hhar,community_dense,oppavg,loss,0.9647735470422992,0.04308932125170148,12
hhar,community_dense,oppavg,macro_f1,0.5568198553887598,0.009002550396172327,12
hhar,community_dense,oppfl,accuracy,0.6504217695306849,0.007165366028304411,12
hhar,community_dense,oppfl,loss,0.9119578958622047,0.07716177997973171,12
hhar,community_dense,oppfl,macro_f1,0.6372443731432708,0.00844638880357837,12
hhar,community_dense,optimist,accuracy,0.7014142970244089,0.007410647304801986,12
hhar,community_dense,optimist,loss,0.860018995590508,0.11574936372916551,12
hhar,community_dense,optimist,macro_f1,0.6896547773644395,0.008986141453706962,12
hhar,community_dense,pulse,accuracy,0.8244961886494249,0.0033975842996956276,12
hhar,community_dense,pulse,loss,0.550819183320359,0.043119859252059196,12
hhar,community_dense,pulse,macro_f1,0.8184836123230124,0.0033799247988199077,12
hhar,community_sparse,local,accuracy,0.6766981217596265,0.013429649847962516,12
hhar,community_sparse,local,loss,0.8910800224101102,0.029497677624508042,12
hhar,community_sparse,local,macro_f1,0.639411433842799,0.016769787044837406,12
hhar,community_sparse,oppavg,accuracy,0.6140096193110501,0.009990144949208902,12
hhar,community_sparse,oppavg,loss,0.9734592294251477,0.04127619550709103,12
hhar,community_sparse,oppavg,macro_f1,0.5570789750001366,0.012781242830633687,12
hhar,community_sparse,oppfl,accuracy,0.538734299717126,0.008691914333315202,12
hhar,community_sparse,oppfl,loss,1.2355471613506477,0.055003070557023956,12
hhar,community_sparse,oppfl,macro_f1,0.5071360253121887,0.012990127547390732,12
hhar,community_sparse,optimist,accuracy,0.6465134565477019,0.009854707395254436,12
hhar,community_sparse,optimist,loss,0.9528762536744276,0.0983056279790755,12
hhar,community_sparse,optimist,macro_f1,0.6299866517978467,0.010614646428471921,12
hhar,community_sparse,pulse,accuracy,0.7698486425258495,0.009019093025419164,12
hhar,community_sparse,pulse,loss,0.7091923616826534,0.04816810270571308,12
hhar,community_sparse,pulse,macro_f1,0.7573871287567967,0.011253298849542966,12
hhar,edge_markov_dense,local,accuracy,0.6753990757796499,0.012597406848521262,12
hhar,edge_markov_dense,local,loss,0.8737545377678342,0.013790683900210515,12
hhar,edge_markov_dense,local,macro_f1,0.6376757166071412,0.015269605736088748,12
hhar,edge_markov_dense,oppavg,accuracy,0.6128548629305981,0.007459730389993249,12
hhar,edge_markov_dense,oppavg,loss,0.9561097718499325,0.024402384261292414,12
hhar,edge_markov_dense,oppavg,macro_f1,0.5549562973465175,0.010085851037259428,12
hhar,edge_markov_dense,oppfl,accuracy,0.6517883373631371,0.007009380142053428,12
